Style Number,Style Sketch/Image Link,Line?,Pattern Number,Sleeve Pattern Number,Style Type,Style Primary Color,Fabric Type,Style Name,Style Description,Fabric 1 Name,Fabric 1 Status,Fabric 1 Quantity (in meter),Fabric 1 Rate (Rs per meter),Fabric 2 Name,Fabric 2 Status,Fabric 2 Quantity (in meter),Fabric 2 Rate (Rs per meter),Fabric 3 Name,Fabric 3 Status,Fabric 3 Quantity (in meter),Fabric 3 Rate (Rs per meter),Accessory 1 Type,Accessory 1 Status,Accessory 1 Quantity,Accessory 1 Rate,Accessory 2 Type,Accessory 2 Status,Accessory 2 Quantity,Accessory 2 Rate,Accessory 3 Type,Accessory 3 Status,Accessory 3 Quantity,Accessory 3 Rate,Dyeing Cost,Labor (hours),Prints,Occasion,Neck Style,Main Trend,Fitting Type,Collar Type,Sleeve Type,Style Secondary Color,Primary Color Shade,Sleeve Length,Season,Hemline,Transparency,Lining,Wash Care,Closure,Bust (Inches) - XS,Chest (inches) - XS,Front Length (inches) - XS,Hips (inches),Waist (inches) - XS,Across Shoulder (inches) - XS,Sleeve Length (inches) - XS,Organic/Sustainable?,Dress Type,Shirt Type,Email Address,Fabric 1 Number,Fabric 2 Number,Fabric 3 Number,Accessory 1 Number,Accessory 2 Number,Accessory 3 Number,Dress Length,Fabric Cost,Accessory Cost,Labor Cost,Dyeing Cost,Packing Cost,Total Cost (USD),Discount (%),Discount Rupees,Target SP (INR),1st Discounted Price,1st Discount (Rs),2nd Discounted Price,2nd Discount (Rs),Clearance Price,Clerance Discount (Rs),Outlet Price,Total Cost (INR),MRP,Style Status,MSRP (USD),Discount %,Premium Style?,Exact Inventory,Inactive,Checked,Photo
24035,,Qurvii Desi,108(D),,Dress,Red,Silk,Red crepe silk Kimono dress with sequins,Red Silk Loose Fit Dress with Asymmetric Hemline,Vamika crepe ,In store and available,3.5,100,Sequin,In store and available,0.25,200,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics, Bling & Sparkly",Loose Fit,Collarless,Not Applicable,Red,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,,,,0,0,,0,,,,?400.00,?2.50,?150.00,,?45.00,6.64,100.00%,,,"2,999.00","1,796.00","1,799.00","2,996.00","1,199.00","3,596.00",899,?597.50,"4,795.00",,54,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24034,https://drive.google.com/open?id=1C9HWfpfJFFRMtceAgPlGLBTnqXJ0-hx7,Qurvii Desi,108 (D),,Dress,Red,Silk,Red silk Kimono dress with brocade,Red Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,3.5,90,Brocade,In store and available,0.35,350,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival, Night",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Red,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,Kaftan,,,0,,,0,,,,?437.50,?2.50,?150.00,,?45.00,7.06,100.00%,,,"3,199.00","1,896.00","1,899.00","3,196.00","1,299.00","3,796.00",999,?635.00,"5,095.00",,57,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1C9HWfpfJFFRMtceAgPlGLBTnqXJ0-hx7
24033,https://drive.google.com/open?id=1Du84qAASJHcafB3M4xHcuXCHUoTki62C,Qurvii Desi,108 (D),,Dress,Royal Blue,Silk,Royal Blue silk Kimono dress with brocade,Royal Blue Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,3.5,90,Brocade ,In store and available,0.35,400,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival, Night",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Blue,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,Kaftan,,,0,0,,0,,,,?455.00,?2.50,?150.00,,?45.00,7.25,100.00%,,,"3,299.00","1,896.00","1,999.00","3,196.00","1,299.00","3,896.00",999,?652.50,"5,195.00",,58,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1Du84qAASJHcafB3M4xHcuXCHUoTki62C
24032,https://drive.google.com/open?id=1hsXh2sdRGiTdhkrWUcMXzkgg_XpA6Nq1,Qurvii Desi,109 (D),,Shrug,Burgundy,Georgette COSMIC,Burgundy shimmery georgette with brocade border shrug.,Burgundy Georgette COSMIC Loose Fit Shrug with Flounce Hemline,Cosmic,In store and available,3,75,Brocade,In store and available,1,450,,,,,,,,,,,,,,,,,,3,Solid,"Evening, Party, Festival, Night",Shawl Collar,"Abstract, Lace, Frills, Bows and Ruffles, New Basics, Sheer, Bling & Sparkly",Loose Fit,Collarless,Regular,Purple,Dark,Full,Fall,Flounce,Sheer,Without,Dry Clean Only,Not Applicable,36,35,42,38,28,14,24,No,,,,0,0,,,,,,?675.00,?0.00,?150.00,,?45.00,9.67,100.00%,,,"4,399.00","2,596.00","2,599.00","4,396.00","1,699.00","5,296.00","1,299.00",?870.00,"6,995.00",,78,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1hsXh2sdRGiTdhkrWUcMXzkgg_XpA6Nq1
24031,https://drive.google.com/open?id=1zphP4wD0BhhBCmKgdXZFIYIuy-Upa6VY,Qurvii Desi,108 (D),,Dress,Orange,Silk, Saffron  & Orange silk Kimono oversize dress,Orange Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,3.5,90,,,,,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Color Blocked, Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Orange,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,Kaftan,,,0,,,0,,,,?315.00,?2.50,?150.00,,?45.00,5.69,100.00%,,,"2,599.00","1,496.00","1,499.00","2,596.00",999,"3,096.00",799,?512.50,"4,095.00",,46,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1zphP4wD0BhhBCmKgdXZFIYIuy-Upa6VY
24030,https://drive.google.com/open?id=1B7I4m8FOxJfL4atBhjfg58EVQm8BEoDr,Qurvii Desi,108 (D),,Dress,Orange,Silk, Orange  & saffron silk Kimono oversize dress,Orange Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,3.5,90,,,,,,,,,Fusing,In store and available,0,0.25,,,,,,,,,,3,Solid,"Evening, Party, Festival, Night",V Neck,"Color Blocked, Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Orange,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,Kaftan,,,0,,,0,10,,,?315.00,?0.00,?150.00,,?45.00,5.67,100.00%,,,"2,599.00","1,496.00","1,499.00","2,596.00",999,"3,096.00",799,?510.00,"4,095.00",,46,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1B7I4m8FOxJfL4atBhjfg58EVQm8BEoDr
24029,https://drive.google.com/open?id=1PRNtCbHgfTrWUQ6uIZSVU6PRg5szYH5T,Qurvii Desi,108 (D),,Dress,Fuchia Pink,Silk,Fuchia pink silk Kimono dress with brocade,Fuchia Pink Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,3.5,90,Brocade ,In store and available,0.25,150,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival, Night",V Neck,"Color Blocked, Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Orange,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,Kaftan,,,0,,,,,,,?352.50,?2.50,?150.00,,?45.00,6.11,100.00%,,,"2,799.00","1,596.00","1,699.00","2,696.00","1,099.00","3,296.00",799,?550.00,"4,395.00",,49,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1PRNtCbHgfTrWUQ6uIZSVU6PRg5szYH5T
24028,https://drive.google.com/open?id=1pwDtDqWQSWsioigMKiLvnRiYc4ggA1x7,Qurvii Desi,108(D),,Dress,Fuchia Pink,Silk,Fuchia pink & orange silk colorblock Kimono dress,Fuchia Pink Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,2.5,90,Silk,In store and available,1,90,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival, Night",V Neck,"Color Blocked, Micro pattern, New Basics",Loose Fit,Collarless,Not Applicable,Orange,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,Kaftan,,,0,,,0,,,,?315.00,?2.50,?150.00,,?45.00,5.69,100.00%,,,"2,599.00","1,496.00","1,499.00","2,596.00",999,"3,096.00",799,?512.50,"4,095.00",,46,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1pwDtDqWQSWsioigMKiLvnRiYc4ggA1x7
24027,https://drive.google.com/open?id=1fuhUDrJ0cTFn1wG31ubh7TCU0fLcN_os,Qurvii Desi,623,,Kaftan,Yellow,Silk,Yellow silk crepe embelished V-Neck kaftan ,Yellow Silk Regular Fit Kaftan with Asymmetric Hemline,Silk Crepe ,In store and available,2.75,100,,,,,,,,,Lace,In store and available,0.5,125,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Regular Fit,Collarless,Not Applicable,Yellow,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,27,38,28,14,,No,Kaftan,,,0,,,0,,,,?275.00,?62.50,?150.00,,?45.00,5.92,100.00%,,,"2,699.00","1,596.00","1,599.00","2,696.00","1,099.00","3,196.00",799,?532.50,"4,295.00",,48,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1fuhUDrJ0cTFn1wG31ubh7TCU0fLcN_os
24026,https://drive.google.com/open?id=1GzJTYKbumKRLwFrnR3wZGKqkUCrfmjVX,Qurvii Desi,603,,Dress,Pink,Satin,Hot pink brocade yoke party dress ,Pink Satin Slim Fit Dress with Curved Hemline and With Lining,Satin ,In store and available,4,70,Brocade,In store and available,0.5,500,Lining,In store and available,1.5,60,Zips,In store and available,1,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics, Wrap",Slim Fit,Collarless,Bell Sleeve,Gold,Dark,Half,Fall,Curved,Opaque,With,Dry Clean Only,Concealed Zip,36,35,49.5,38,28,14,10,No,Fit & Flare,,,0,,,,,,,?620.00,?10.00,?150.00,,?45.00,9.17,100.00%,,,"4,099.00","2,496.00","2,499.00","4,096.00","1,699.00","4,896.00","1,199.00",?825.00,"6,595.00",,74,,TRUE,FALSE,FALSE,TRUE,https://drive.google.com/uc?export=view&id=1GzJTYKbumKRLwFrnR3wZGKqkUCrfmjVX
